Country/Region,3/17/03,3/18/03,3/19/03,3/20/03,3/21/03,3/22/03,3/24/03,3/25/03,3/26/03,3/27/03,3/28/03,3/29/03,3/31/03,04/01/03,04/02/03,04/03/03,04/04/03,04/05/03,04/07/03,04/08/03,04/09/03,04/10/03,04/11/03,04/12/03,4/14/03,4/15/03,4/16/03,4/17/03,4/18/03,4/19/03,4/21/03,4/22/03,4/23/03,4/24/03,4/25/03,4/26/03,4/28/03,4/29/03,4/30/03,05/01/03,05/02/03,05/03/03,05/05/03,05/06/03,05/07/03,05/08/03,05/09/03,05/10/03,05/12/03,5/13/03,5/14/03,5/15/03,5/16/03,5/17/03,5/19/03,5/20/03,5/21/03,5/22/03,5/23/03,5/24/03,5/26/03,5/27/03,5/28/03,5/29/03,5/30/03,5/31/03,06/02/03,06/03/03,06/04/03,06/05/03,06/06/03,06/09/03,06/10/03,06/11/03,06/12/03,6/13/03,6/16/03,6/17/03,6/18/03,6/19/03,6/20/03,6/23/03,6/24/03,6/25/03,6/26/03,6/27/03,6/30/03,07/01/03,07/02/03,07/03/03,07/04/03,07/07/03,07/08/03,07/09/03,07/10/03,07/11/03
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,8,8,8,9,9,9,11,11,19,28,29,37,44,53,58,62,69,74,90,91,94,97,98,101,100,100,103,126,132,132,132,139,140,140,140,142,142,146,148,147,149,149,148,148,146,146,145,145,143,143,143,142,140,140,140,140,140,140,140,140,148,148,149,151,159,188,198,213,216,218,219,229,229,230,238,242,243,247,246,245,245,246,249,250,251,251,252,252,252,251,251,251,250,249,250,250
China,0,0,0,0,0,0,0,0,792,806,806,806,806,806,1190,1190,1220,1220,1268,1279,1280,1290,1309,1371,1418,1418,1432,1457,1512,1512,1959,2001,2305,2422,2601,2753,2914,3303,3460,3638,3799,3971,4280,4409,4560,4698,4805,4884,5013,5086,5124,5163,5191,5209,5236,5248,5249,5271,5285,5309,5316,5322,5323,5325,5328,5328,5328,5329,5329,5329,5329,5328,5328,5329,5328,5327,5326,5326,5326,5326,5326,5326,5326,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Germany,1,2,1,1,1,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
